# Tiempo [s],Tensión de armadura [V],Velocidad [rad/s]
3.403361344537818300e-02,2.406823113956310181e+02,9.034505648127340294e+01
3.529411764705885773e-02,2.406823113956310181e+02,9.468456335655604050e+01
3.655462184873953246e-02,2.406823113956310181e+02,9.805064942732130362e+01
3.781512605042020025e-02,2.406823113956310181e+02,1.005952368268406758e+02
3.907563025210087498e-02,2.406823113956310181e+02,1.042829849072026178e+02
4.033613445378154971e-02,2.406823113956310181e+02,1.081731767773645601e+02
4.159663865546222444e-02,2.406823113956310181e+02,1.113722911015164243e+02
4.285714285714289917e-02,2.406823113956310181e+02,1.151253107107878861e+02
4.411764705882356696e-02,2.406823113956310181e+02,1.190059117600850271e+02
4.537815126050424169e-02,2.406823113956310181e+02,1.222097521285631103e+02
4.663865546218491642e-02,2.406823113956310181e+02,1.244203854892793117e+02
4.789915966386559115e-02,2.406823113956310181e+02,1.271214896238182774e+02
4.915966386554626588e-02,2.406823113956310181e+02,1.307368177898823660e+02
5.042016806722693367e-02,2.406823113956310181e+02,1.338091118983311105e+02
5.168067226890760840e-02,2.406823113956310181e+02,1.368715539546076627e+02
5.294117647058828313e-02,2.406823113956310181e+02,1.399761430526794186e+02
5.420168067226895786e-02,2.406823113956310181e+02,1.428209239389152003e+02
5.546218487394963259e-02,2.406823113956310181e+02,1.450602969666078366e+02
5.672268907563030732e-02,2.406823113956310181e+02,1.471221462362672128e+02
5.798319327731097511e-02,2.406823113956310181e+02,1.500350394291704106e+02
5.924369747899164984e-02,2.406823113956310181e+02,1.525021873045121765e+02
6.050420168067232457e-02,2.406823113956310181e+02,1.548190674211437567e+02
6.176470588235299930e-02,2.406823113956310181e+02,1.577693761873151459e+02
6.302521008403366709e-02,2.406823113956310181e+02,1.602584549608478994e+02
6.428571428571434876e-02,2.406823113956310181e+02,1.625455627908339977e+02
6.554621848739501655e-02,2.406823113956310181e+02,1.642522947536578499e+02
6.680672268907569822e-02,2.406823113956310181e+02,1.660147969681981408e+02
6.806722689075636601e-02,2.406823113956310181e+02,1.681176573039836057e+02
6.932773109243703380e-02,2.406823113956310181e+02,1.698715940708637220e+02
7.058823529411771547e-02,2.406823113956310181e+02,1.722043659035003316e+02
7.184873949579838326e-02,2.406823113956310181e+02,1.743228314939769348e+02
7.310924369747906493e-02,2.406823113956310181e+02,1.760795880276544665e+02
7.436974789915973272e-02,2.406823113956310181e+02,1.780545675085255652e+02
7.563025210084040051e-02,2.406823113956310181e+02,1.790891094227757208e+02
7.689075630252108218e-02,2.406823113956310181e+02,1.805045576953879731e+02
7.815126050420174997e-02,2.406823113956310181e+02,1.826211372988721848e+02
7.941176470588243164e-02,2.406823113956310181e+02,1.843702217186500434e+02
8.067226890756309943e-02,2.406823113956310181e+02,1.859105056666019493e+02
8.193277310924376722e-02,2.406823113956310181e+02,1.874557404537796685e+02
8.319327731092444889e-02,2.406823113956310181e+02,1.890039360457344344e+02
8.445378151260511668e-02,2.406823113956310181e+02,1.901796988847736998e+02
8.571428571428579835e-02,2.406823113956310181e+02,1.913331950493979150e+02
8.697478991596646614e-02,2.406823113956310181e+02,1.928959639204016980e+02
8.823529411764713393e-02,2.406823113956310181e+02,1.942690368961605714e+02
8.949579831932781560e-02,2.406823113956310181e+02,1.952010262787633224e+02
9.075630252100848339e-02,2.406823113956310181e+02,1.967426471739748877e+02
9.201680672268916505e-02,2.406823113956310181e+02,1.981210784764948016e+02
9.327731092436983285e-02,2.406823113956310181e+02,1.989458695458128545e+02
9.453781512605050064e-02,2.406823113956310181e+02,1.999731769012220752e+02
9.579831932773118230e-02,2.406823113956310181e+02,2.008283316718889751e+02
9.705882352941185010e-02,2.406823113956310181e+02,2.021308784452550071e+02
9.831932773109253176e-02,2.406823113956310181e+02,2.031649248345209173e+02
9.957983193277319955e-02,2.406823113956310181e+02,2.044661982145719890e+02
1.008403361344538673e-01,2.406823113956310181e+02,2.054921651163670617e+02
1.021008403361345490e-01,2.406823113956310181e+02,2.060910746483334322e+02
1.033613445378152168e-01,2.406823113956310181e+02,2.066489184876265881e+02
1.046218487394958985e-01,2.406823113956310181e+02,2.075533069530319210e+02
1.058823529411765663e-01,2.406823113956310181e+02,2.089564099225291613e+02
1.071428571428572479e-01,2.406823113956310181e+02,2.097312824212130522e+02
1.084033613445379157e-01,2.406823113956310181e+02,2.105092899892567573e+02
1.096638655462185835e-01,2.406823113956310181e+02,2.112779745139336001e+02
1.109243697478992652e-01,2.406823113956310181e+02,2.120134052369984943e+02
1.121848739495799330e-01,2.406823113956310181e+02,2.125270589147031046e+02
1.134453781512606146e-01,2.406823113956310181e+02,2.132075493751594308e+02
1.147058823529412824e-01,2.406823113956310181e+02,2.139972778000524158e+02
1.159663865546219502e-01,2.406823113956310181e+02,2.147761398652234561e+02
1.172268907563026319e-01,2.406823113956310181e+02,2.155515568169383016e+02
1.184873949579832997e-01,2.406823113956310181e+02,2.158496383823534188e+02
1.197478991596639813e-01,2.406823113956310181e+02,2.163103256069918814e+02
1.210084033613446491e-01,2.406823113956310181e+02,2.169272466741830101e+02
1.222689075630253169e-01,2.406823113956310181e+02,2.174644218290767412e+02
1.235294117647059986e-01,2.406823113956310181e+02,2.182340589788420857e+02
1.247899159663866664e-01,2.406823113956310181e+02,2.189482862846231797e+02
1.260504201680673342e-01,2.406823113956310181e+02,2.190148021973494963e+02
1.273109243697480297e-01,2.406823113956310181e+02,2.197834867220263391e+02
1.285714285714286975e-01,2.406823113956310181e+02,2.204921740113680926e+02
1.298319327731093653e-01,2.406823113956310181e+02,2.205297366003470074e+02
1.310924369747900331e-01,2.406823113956310181e+02,2.210386342254802798e+02
1.323529411764707009e-01,2.406823113956310181e+02,2.216982412030944545e+02
1.336134453781513964e-01,2.406823113956310181e+02,2.220469341868929405e+02
1.348739495798320642e-01,2.406823113956310181e+02,2.224685093471839821e+02
1.361344537815127320e-01,2.406823113956310181e+02,2.228188780502653970e+02
1.373949579831933998e-01,2.406823113956310181e+02,2.232393327419999878e+02
1.386554621848740676e-01,2.406823113956310181e+02,2.235908219136378534e+02
1.399159663865547631e-01,2.406823113956310181e+02,2.238674240166804168e+02
1.411764705882354309e-01,2.406823113956310181e+02,2.243627657770103383e+02
1.424369747899160987e-01,2.406823113956310181e+02,2.243879304772436285e+02
1.436974789915967665e-01,2.406823113956310181e+02,2.251673269867224860e+02
1.449579831932774343e-01,2.406823113956310181e+02,2.251741564013449874e+02
1.462184873949581299e-01,2.406823113956310181e+02,2.259392708500949425e+02
1.474789915966387976e-01,2.406823113956310181e+02,2.259449797961609931e+02
1.487394957983194654e-01,2.406823113956310181e+02,2.267112147134674274e+02
1.500000000000001332e-01,2.406823113956310181e+02,2.267112147134674274e+02
1.512605042016808010e-01,2.406823113956310181e+02,2.267112147134674274e+02
1.525210084033614966e-01,2.406823113956310181e+02,2.270979283637755657e+02
1.537815126050421644e-01,2.406823113956310181e+02,2.274940310256197620e+02
1.550420168067228321e-01,2.406823113956310181e+02,2.278714945808974051e+02
1.563025210084034999e-01,2.406823113956310181e+02,2.282659748889922469e+02
1.575630252100841677e-01,2.406823113956310181e+02,2.282659748889922469e+02
1.588235294117648633e-01,2.406823113956310181e+02,2.285051824456696181e+02
1.600840336134455311e-01,2.406823113956310181e+02,2.290164470365011766e+02
1.613445378151261989e-01,2.406823113956310181e+02,2.290379187523647033e+02
1.626050420168068666e-01,2.406823113956310181e+02,2.290379187523647033e+02
1.638655462184875344e-01,2.406823113956310181e+02,2.290379187523647033e+02
1.651260504201682300e-01,2.406823113956310181e+02,2.297699408200646474e+02
1.663865546218488978e-01,2.406823113956310181e+02,2.298098626157371882e+02
1.676470588235295656e-01,2.406823113956310181e+02,2.298098626157371882e+02
1.689075630252102334e-01,2.406823113956310181e+02,2.298098626157371882e+02
1.701680672268909011e-01,2.406823113956310181e+02,2.301557770777484677e+02
1.714285714285715967e-01,2.406823113956310181e+02,2.305926789278895228e+02
1.726890756302522645e-01,2.406823113956310181e+02,2.305926789278895512e+02
1.739495798319329323e-01,2.406823113956310181e+02,2.305926789278895512e+02
1.752100840336136001e-01,2.406823113956310181e+02,2.309099552499209267e+02
1.764705882352942679e-01,2.406823113956310181e+02,2.313646227912620361e+02
1.777310924369749634e-01,2.406823113956310181e+02,2.313646227912620361e+02
1.789915966386556312e-01,2.406823113956310181e+02,2.313646227912620361e+02
1.802521008403362990e-01,2.406823113956310181e+02,2.313646227912620361e+02
1.815126050420169668e-01,2.406823113956310181e+02,2.313646227912620361e+02
1.827731092436976346e-01,2.406823113956310181e+02,2.320564123260581084e+02
1.840336134453783301e-01,2.406823113956310181e+02,2.321365666546344926e+02
1.852941176470589979e-01,2.406823113956310181e+02,2.321365666546344926e+02
1.865546218487396657e-01,2.406823113956310181e+02,2.321365666546344926e+02
1.878151260504203335e-01,2.406823113956310181e+02,2.321365666546344926e+02
1.890756302521010013e-01,2.406823113956310181e+02,2.321365666546344926e+02
1.903361344537816968e-01,2.406823113956310181e+02,2.324166898155416163e+02
1.915966386554623646e-01,2.406823113956310181e+02,2.329085105180069775e+02
1.928571428571430324e-01,2.406823113956310181e+02,2.329085105180069775e+02
1.941176470588237002e-01,2.406823113956310181e+02,2.329085105180069775e+02
1.953781512605043680e-01,2.406823113956310181e+02,2.329085105180069775e+02
1.966386554621850635e-01,2.406823113956310181e+02,2.329085105180069775e+02
1.978991596638657313e-01,2.406823113956310181e+02,2.329085105180069775e+02
1.991596638655463991e-01,2.406823113956310181e+02,2.329085105180069775e+02
2.004201680672270669e-01,2.406823113956310181e+02,2.329085105180069775e+02
2.016806722689077347e-01,2.406823113956310181e+02,2.335540305404016976e+02
2.029411764705884302e-01,2.406823113956310181e+02,2.336913268301593121e+02
2.042016806722690980e-01,2.406823113956310181e+02,2.336913268301593121e+02
2.054621848739497658e-01,2.406823113956310181e+02,2.336913268301593121e+02
2.067226890756304336e-01,2.406823113956310181e+02,2.336913268301593121e+02
2.079831932773111292e-01,2.406823113956310181e+02,2.336913268301593121e+02
2.092436974789917969e-01,2.406823113956310181e+02,2.336913268301593121e+02
2.105042016806724647e-01,2.406823113956310181e+02,2.336913268301593121e+02
2.117647058823531325e-01,2.406823113956310181e+02,2.336913268301593121e+02
2.130252100840338003e-01,2.406823113956310181e+02,2.336913268301593121e+02
2.142857142857144959e-01,2.406823113956310181e+02,2.336913268301593121e+02
2.155462184873951637e-01,2.406823113956310181e+02,2.336913268301593121e+02
2.168067226890758314e-01,2.406823113956310181e+02,2.342897160113390100e+02
2.180672268907564992e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.193277310924371670e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.205882352941178626e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.218487394957985304e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.231092436974791982e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.243697478991598659e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.256302521008405337e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.268907563025212293e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.281512605042018971e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.294117647058825649e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.306722689075632327e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.319327731092439004e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.331932773109245960e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.344537815126052638e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.357142857142859316e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.369747899159665994e-01,2.406823113956310181e+02,2.344632706935317970e+02
2.382352941176472672e-01,2.406823113956310181e+02,2.350116493257206969e+02
2.394957983193279627e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.407563025210086305e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.420168067226892983e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.432773109243699661e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.445378151260506339e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.457983193277313294e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.470588235294119972e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.483193277310926650e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.495798319327733328e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.508403361344540006e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.521008403361346684e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.533613445378153362e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.546218487394960595e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.558823529411767272e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.571428571428573950e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.584033613445380628e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.596638655462187306e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.609243697478993984e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.621848739495800662e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.634453781512607340e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.647058823529414018e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.659663865546220696e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.672268907563027929e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.684873949579834607e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.697478991596641285e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.710084033613447962e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.722689075630254640e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.735294117647061318e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.747899159663867996e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.760504201680674674e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.773109243697481352e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.785714285714288030e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.798319327731095263e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.810924369747901941e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.823529411764708619e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.836134453781515297e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.848739495798321975e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.861344537815128652e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.873949579831935330e-01,2.406823113956310181e+02,2.352352145569042534e+02
2.886554621848742008e-01,2.406823113956310181e+02,2.352657880719926879e+02
2.899159663865548686e-01,2.406823113956310181e+02,2.360397757666164011e+02
2.911764705882355364e-01,2.406823113956310181e+02,2.360397757666164011e+02
2.924369747899162597e-01,2.406823113956310181e+02,2.360397757666164011e+02
2.936974789915969275e-01,2.406823113956310181e+02,2.360397757666164011e+02
2.949579831932775953e-01,2.406823113956310181e+02,2.360397757666164011e+02
2.962184873949582631e-01,2.406823113956310181e+02,2.360397757666164011e+02
2.974789915966389309e-01,2.406823113956310181e+02,2.360397757666164011e+02
2.987394957983195987e-01,2.406823113956310181e+02,2.360397757666164011e+02
3.000000000000002665e-01,2.406823113956310181e+02,2.360397757666164011e+02
