# Tiempo [s],Tensión [V],Desplazamiento [mm]
6.068074753543429622e+00,8.018446208012845133e+00,4.619091069427381235e+00
6.098591175073241999e+00,8.018446208012845133e+00,4.842743459145668616e+00
6.129107596603054375e+00,8.018446208012845133e+00,5.123272992649638979e+00
6.159624018132866752e+00,8.018446208012845133e+00,5.431778479032248086e+00
6.190140439662679128e+00,8.018446208012845133e+00,5.795919265970949752e+00
6.220656861192490616e+00,8.018446208012845133e+00,6.216625685480898333e+00
6.251173282722302993e+00,8.018446208012845133e+00,6.664889149884776209e+00
6.281689704252115369e+00,8.018446208012845133e+00,7.113152614288656750e+00
6.312206125781927746e+00,8.018446208012845133e+00,7.589048218341659435e+00
6.342722547311740122e+00,8.018446208012845133e+00,8.064892560517495923e+00
6.373238968841552499e+00,8.018446208012845133e+00,8.513415397638228299e+00
6.403755390371363987e+00,8.018446208012845133e+00,8.989690877197350716e+00
6.434271811901176363e+00,8.018446208012845133e+00,9.410101013216735311e+00
6.464788233430988740e+00,8.018446208012845133e+00,9.830499392430619210e+00
6.495304654960801116e+00,8.018446208012845133e+00,1.019473400954798237e+01
6.525821076490613493e+00,8.018446208012845133e+00,1.055936128483023850e+01
6.556337498020425869e+00,8.018446208012845133e+00,1.083995971282597992e+01
6.586853919550238246e+00,8.018446208012845133e+00,1.109150143661984345e+01
6.617370341080050622e+00,8.018446208012845133e+00,1.128807101732907192e+01
6.647886762609862998e+00,8.018446208012845133e+00,1.145560785606591558e+01
6.678403184139675375e+00,8.018446208012845133e+00,1.156812029102195716e+01
6.708919605669487751e+00,8.018446208012845133e+00,1.157946310540254231e+01
6.739436027199299239e+00,8.018446208012845133e+00,1.156254792734339176e+01
6.769952448729111616e+00,8.018446208012845133e+00,1.153407607878101970e+01
6.800468870258923992e+00,8.018446208012845133e+00,1.142215570783408474e+01
6.830985291788736369e+00,8.018446208012845133e+00,1.128252782843410884e+01
6.861501713318548745e+00,8.018446208012845133e+00,1.108580204169780181e+01
6.892018134848361122e+00,8.018446208012845133e+00,1.089051803539902608e+01
6.922534556378172610e+00,8.018446208012845133e+00,1.063855629963522631e+01
6.953050977907984986e+00,8.018446208012845133e+00,1.038704496824794354e+01
6.983567399437797363e+00,8.018446208012845133e+00,1.007841154753022295e+01
7.014083820967609739e+00,8.018446208012845133e+00,9.797863030226329428e+00
7.044600242497422116e+00,8.018446208012845133e+00,9.489805540098092962e+00
7.075116664027234492e+00,8.018446208012845133e+00,9.181972246250635905e+00
7.105633085557046869e+00,8.018446208012845133e+00,8.873533571695805477e+00
7.136149507086859245e+00,8.018446208012845133e+00,8.564900207965777668e+00
7.166665928616671621e+00,8.018446208012845133e+00,8.285323548437629526e+00
7.197182350146483998e+00,8.018446208012845133e+00,8.032840302286906820e+00
7.227698771676296374e+00,8.018446208012845133e+00,7.780357056136185889e+00
7.258215193206108751e+00,8.018446208012845133e+00,7.556746006165923291e+00
7.288731614735920239e+00,8.018446208012845133e+00,7.388083457158245437e+00
7.319248036265732615e+00,8.018446208012845133e+00,7.220203774261335639e+00
7.349764457795544992e+00,8.018446208012845133e+00,7.080624021796598555e+00
7.380280879325357368e+00,8.018446208012845133e+00,6.995894788248848251e+00
7.410797300855168857e+00,8.018446208012845133e+00,6.968206996861740166e+00
7.441313722384981233e+00,8.018446208012845133e+00,6.924500560628603196e+00
7.471830143914793609e+00,8.018446208012845133e+00,6.936843636703682314e+00
7.502346565444605986e+00,8.018446208012845133e+00,6.964398892974536182e+00
7.532862986974418362e+00,8.018446208012845133e+00,7.048604122702301744e+00
7.563379408504230739e+00,8.018446208012845133e+00,7.132158778551235478e+00
7.593895830034043115e+00,8.018446208012845133e+00,7.243918506153016246e+00
7.624412251563855492e+00,8.018446208012845133e+00,7.383708858980228662e+00
7.654928673093667868e+00,8.018446208012845133e+00,7.552309793929061321e+00
7.685445094623480244e+00,8.018446208012845133e+00,7.720080441486327771e+00
7.715961516153292621e+00,8.018446208012845133e+00,7.916558127115170151e+00
7.746477937683104997e+00,8.018446208012845133e+00,8.112359381657498147e+00
7.776994359212917374e+00,8.018446208012845133e+00,8.308831726093112380e+00
7.807510780742728862e+00,8.018446208012845133e+00,8.504515298564466974e+00
7.838027202272541238e+00,8.018446208012845133e+00,8.701105325071052832e+00
7.868543623802353615e+00,8.018446208012845133e+00,8.896653137312688031e+00
7.899060045332165991e+00,8.018446208012845133e+00,9.064452620643228542e+00
7.929576466861978368e+00,8.018446208012845133e+00,9.261312018878170349e+00
7.960092888391789856e+00,8.018446208012845133e+00,9.400838359410640166e+00
7.990609309921602232e+00,8.018446208012845133e+00,9.541414028567642092e+00
8.021125731451414609e+00,8.018446208012845133e+00,9.653052561476274107e+00
8.051642152981226985e+00,8.018446208012845133e+00,9.764844616642772479e+00
8.082158574511039362e+00,8.018446208012845133e+00,9.848644704111686465e+00
8.112674996040851738e+00,8.018446208012845133e+00,9.875763568278511428e+00
